tok0,tok1,tok2,n_active,both_idle,c2_rank,c3_rank,act,c2_s1,c2_s3,c3_s1,c3_s3
8,0,0,1,1,7,7,1,1,1,1,1
5,3,0,2,1,7,7,0,1,1,1,0
16,0,0,1,1,0,7,1,0,0,0,0
24,22,6,5,1,7,7,0,1,1,1,1
24,22,6,3,1,7,7,4,-1,-1,0,-1
24,22,6,3,1,7,0,2,1,1,-1,-1
24,22,0,2,0,7,0,0,0,0,0,0
19,10,7,6,1,7,7,2,1,1,-1,-1
19,10,7,5,0,7,7,3,-1,-1,1,1
19,10,7,4,1,7,7,2,2,1,-1,-1
19,10,7,3,0,7,7,3,-1,-1,0,0
19,10,0,2,0,7,7,4,0,-1,-1,-1
19,10,0,2,0,0,7,1,0,0,0,0
10,0,0,1,1,7,7,1,1,0,1,1
2,1,1,7,1,7,7,0,1,1,1,1
1,1,1,5,1,7,7,0,1,1,1,1
1,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
24,0,0,1,1,0,7,1,0,0,0,0
19,1,1,6,1,7,7,2,2,2,-1,-1
19,1,1,5,0,7,7,3,-1,-1,2,2
19,1,1,4,0,7,7,2,2,2,-1,-1
19,1,1,3,0,7,7,3,-1,-1,2,2
19,1,0,2,0,7,7,1,0,0,0,0
1,0,0,1,1,7,7,2,2,2,-1,-1
16,0,0,1,1,7,7,1,0,0,0,0
34,8,3,5,1,7,7,2,2,1,-1,-1
34,8,2,4,0,7,7,3,-1,-1,2,1
34,8,1,3,1,7,7,2,2,2,-1,-1
34,8,0,2,0,7,7,1,0,0,0,0
8,0,0,1,0,7,7,1,1,1,1,1
23,3,3,4,1,7,7,2,2,1,-1,-1
23,3,3,3,0,7,7,3,-1,-1,1,1
23,3,0,2,0,7,7,2,1,1,-1,-1
23,0,0,1,0,7,7,1,0,0,0,0
3,3,3,4,1,0,7,0,1,1,1,1
3,3,0,2,1,7,7,0,1,1,1,1
4,4,2,6,1,7,7,0,1,1,1,1
2,2,2,4,1,7,7,0,1,1,1,1
2,2,0,2,1,7,7,0,1,1,1,1
2,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
15,15,14,7,1,0,7,0,1,1,1,1
15,15,14,5,1,7,7,4,-1,-1,0,-1
15,15,14,5,1,7,0,2,1,1,-1,-1
15,15,14,4,0,7,0,3,-1,-1,1,2
15,15,14,3,0,7,7,4,2,-1,-1,-1
15,15,14,3,0,0,7,1,0,0,0,1
15,14,0,2,1,7,7,4,-1,-1,2,-1
15,14,0,2,1,7,0,0,0,0,0,0
16,5,3,3,1,7,7,1,0,0,0,1
